Timestamp,Hostname,Service,Message
01-06-2009 06:06,combo,syslogd 1.4.1,restart.
01-06-2009 06:06,combo,syslog,syslogd startup succeeded
01-06-2009 06:06,combo,syslog,klogd startup succeeded
01-06-2009 06:06,combo,kernel,"klogd 1.4.1, log source = /proc/kmsg started."
01-06-2009 06:06,combo,kernel,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004
01-06-2009 06:06,combo,kernel,BIOS-provided physical RAM map:
01-06-2009 06:06,combo,kernel, BIOS-e820: 0000000000000000 - 00000000000a0000 (usable)
01-06-2009 06:06,combo,kernel, BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved)
01-06-2009 06:06,combo,kernel, BIOS-e820: 0000000000100000 - 0000000007eae000 (usable)
01-06-2009 06:06,combo,kernel, BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved)
01-06-2009 06:06,combo,kernel, BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved)
01-06-2009 06:06,combo,kernel,0MB HIGHMEM available.
01-06-2009 06:06,combo,kernel,126MB LOWMEM available.
01-06-2009 06:06,combo,kernel,zapping low mappings.
01-06-2009 06:06,combo,kernel,On node 0 totalpages: 32430
01-06-2009 06:06,combo,kernel,"  DMA zone: 4096 pages, LIFO batch:1"
01-06-2009 06:06,combo,kernel,"  Normal zone: 28334 pages, LIFO batch:6"
01-06-2009 06:06,combo,kernel,"  HighMem zone: 0 pages, LIFO batch:1"
01-06-2009 06:06,combo,kernel,DMI 2.3 present.
01-06-2009 06:06,combo,kernel,ACPI disabled because your bios is from 2000 and too old
01-06-2009 06:06,combo,kernel,You can enable it with acpi=force
01-06-2009 06:06,combo,kernel,Built 1 zonelists
01-06-2009 06:06,combo,irqbalance,irqbalance startup succeeded
01-06-2009 06:06,combo,kernel,Kernel command line: ro root=LABEL=/ rhgb quiet
01-06-2009 06:06,combo,kernel,mapped 4G/4G trampoline to ffff3000.
01-06-2009 06:06,combo,kernel,Initializing CPU#0
01-06-2009 06:06,combo,portmap,portmap startup succeeded
01-06-2009 06:06,combo,kernel,"CPU 0 irqstacks, hard=02345000 soft=02344000"
01-06-2009 06:06,combo,kernel,PID hash table entries: 512 (order 9: 4096 bytes)
01-06-2009 06:06,combo,kernel,Detected 731.214 MHz processor.
01-06-2009 06:06,combo,kernel,Using tsc for high-res timesource
01-06-2009 06:06,combo,kernel,Console: colour VGA+ 80x25
01-06-2009 06:06,combo,kernel,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)"
01-06-2009 06:06,combo,kernel,Calibrating delay loop... 1441.79 BogoMIPS
01-06-2009 06:06,combo,kernel,Security Scaffold v1.0.0 initialized
01-06-2009 06:06,combo,kernel,SELinux:  Initializing.
01-06-2009 06:06,combo,kernel,SELinux:  Starting in permissive mode
01-06-2009 06:06,combo,kernel,"There is already a security framework initialized, register_security failed."
01-06-2009 06:06,combo,kernel,Failure registering capabilities with the kernel
01-06-2009 06:06,combo,kernel,selinux_register_security:  Registering secondary module capability
01-06-2009 06:06,combo,kernel,Capability LSM initialized
01-06-2009 06:06,combo,kernel,"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)"
01-06-2009 06:06,combo,kernel,"Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)"
01-06-2009 06:06,combo,kernel,"Mount-cache hash table entries: 512 (order: 0, 4096 bytes)"
01-06-2009 06:06,combo,rpc.statd[1605],Version 1.0.6 Starting
01-06-2009 06:06,combo,nfslock,rpc.statd startup succeeded
01-06-2009 06:06,combo,kernel,"CPU: L1 I cache: 16K, L1 D cache: 16K"
01-06-2009 06:06,combo,kernel,CPU: L2 cache: 256K
01-06-2009 06:06,combo,kernel,Intel machine check architecture supported.
01-06-2009 06:06,combo,kernel,Intel machine check reporting enabled on CPU#0.
01-06-2009 06:06,combo,kernel,CPU: Intel Pentium III (Coppermine) stepping 06
01-06-2009 06:06,combo,kernel,Enabling fast FPU save and restore... done.
01-06-2009 06:06,combo,kernel,Enabling unmasked SIMD FPU exception support... done.
01-06-2009 06:06,combo,kernel,Checking 'hlt' instruction... OK.
01-06-2009 06:06,combo,kernel,POSIX conformance testing by UNIFIX
01-06-2009 06:06,combo,kernel,NET: Registered protocol family 16
01-06-2009 06:06,combo,kernel,"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1"
01-06-2009 06:06,combo,kernel,PCI: Using configuration type 1
01-06-2009 06:06,combo,kernel,mtrr: v2.0 (20020519)
01-06-2009 06:06,combo,kernel,ACPI: Subsystem revision 20040326
01-06-2009 06:06,combo,kernel,ACPI: Interpreter disabled.
01-06-2009 06:06,combo,kernel,Linux Plug and Play Support v0.97 (c) Adam Belay
01-06-2009 06:06,combo,kernel,usbcore: registered new driver usbfs
01-06-2009 06:06,combo,kernel,usbcore: registered new driver hub
01-06-2009 06:06,combo,rpcidmapd,rpc.idmapd startup succeeded
01-06-2009 06:06,combo,kernel,ACPI: ACPI tables contain no PCI IRQ routing entries
01-06-2009 06:06,combo,kernel,PCI: Invalid ACPI-PCI IRQ routing table
01-06-2009 06:06,combo,random,Initializing random number generator:  succeeded
01-06-2009 06:06,combo,kernel,PCI: Probing PCI hardware
01-06-2009 06:06,combo,kernel,PCI: Probing PCI hardware (bus 00)
01-06-2009 06:06,combo,kernel,Transparent bridge - 0000:00:1e.0
01-06-2009 06:06,combo,kernel,PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0
